sku,demand_sum,fulfilled_sum,fill_rate
SKU_A,152220,113400,0.7449743791880173
SKU_B,64894,47372,0.7299904459580239
SKU_C,97695,74635,0.763959260965249
SKU_D,72319,56201,0.7771263430080615
SKU_E,60592,44567,0.735526142064959
