node_id,demand_sum,fulfilled_sum,fill_rate
R1,13236,13152.0,0.9936536718041704
R2,8217,8136.0,0.9901423877327492
R3,21393,21240.0,0.9928481278923013
Supplier,0,0.0,
W1,0,0.0,
W2,0,0.0,
_OVERALL_,42846,42528.0,0.9925780702982776
