node_id,sku,demand_sum,fulfilled_sum,fill_rate
R1,SKU_A,51394,45826,0.8916605051173289
R1,SKU_B,23800,23800,1.0
R1,SKU_C,37760,37760,1.0
R1,SKU_D,22301,22301,1.0
R1,SKU_E,15853,12271,0.7740490758846906
R2,SKU_A,34230,29792,0.8703476482617587
R2,SKU_B,19561,19524,0.9981084811614949
R2,SKU_C,18587,13776,0.7411631785656642
R2,SKU_D,16542,15579,0.941784548422198
R2,SKU_E,16529,16529,1.0
R3,SKU_A,66596,65949,0.9902847017838909
R3,SKU_B,21533,21533,1.0
R3,SKU_C,41348,41348,1.0
R3,SKU_D,33476,33476,1.0
R3,SKU_E,28210,28167,0.9984757178305566
