node_id,sku,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
R1,SKU_A,4798.5,0.0,102.788,0.0,4901.2880000000005
R1,SKU_B,3267.21,2.4,47.6,0.0,3317.21
R1,SKU_C,4743.981,0.0,75.52,0.0,4819.501
R1,SKU_D,4840.22,0.0,44.602000000000004,0.0,4884.822
R1,SKU_E,588.406,371.20000000000005,31.706,0.0,991.312
R2,SKU_A,5840.325000000001,0.0,68.46000000000001,0.0,5908.785
R2,SKU_B,1714.26,532.8,39.122,0.0,2286.182
R2,SKU_C,1106.865,9017.550000000001,37.174,0.0,10161.589
R2,SKU_D,331.43600000000004,1866.7,33.084,0.0,2231.2200000000003
R2,SKU_E,2560.48,0.0,33.058,0.0,2593.538
R3,SKU_A,8878.375,0.0,133.192,0.0,9011.567000000001
R3,SKU_B,2871.5099999999998,673.8,43.066,0.0,3588.3759999999997
R3,SKU_C,9283.437,0.0,82.696,0.0,9366.133
R3,SKU_D,5716.536,0.0,66.952,0.0,5783.488
R3,SKU_E,1146.3139999999999,358.40000000000003,56.42,0.0,1561.134
Supplier,SKU_A,0.0,0.0,0.0,14367.944382931062,14367.944382931062
Supplier,SKU_B,0.0,0.0,0.0,23250.32234997369,23250.32234997369
Supplier,SKU_C,0.0,0.0,0.0,13686.169285426651,13686.169285426651
Supplier,SKU_D,0.0,0.0,0.0,17210.01364137477,17210.01364137477
Supplier,SKU_E,0.0,0.0,0.0,17350.550340293827,17350.550340293827
W1,SKU_A,3889.2,0.0,4692.608,6182.037088846748,14763.845088846747
W1,SKU_B,1088.9279999999999,0.0,3609.86,12842.057577750542,17540.845577750544
W1,SKU_C,105.072,0.0,4079.254,5866.91653831876,10051.24253831876
W1,SKU_D,2930.1200000000003,0.0,3621.509,7070.230794681494,13621.859794681495
W1,SKU_E,4650.192,0.0,3200.064,7342.758000402455,15193.014000402454
W2,SKU_A,4964.04,0.0,4540.968,3066.898500745168,12571.906500745168
W2,SKU_B,0.0,0.0,3479.33,4005.172848589508,7484.502848589507
W2,SKU_C,2022.56,0.0,3963.471,2858.0809204903335,8844.111920490333
W2,SKU_D,11509.561000000002,0.0,3574.283,3840.171488219991,18924.015488219993
W2,SKU_E,3788.288,0.0,3175.272,3880.6762419550005,10844.236241955
