node_id,sku,demand_sum,fulfilled_sum,fill_rate
R1,SKU_A,51394,51394,1.0
R1,SKU_B,23800,23800,1.0
R1,SKU_C,37760,33866,0.896875
R1,SKU_D,22301,21967,0.985023093134837
R1,SKU_E,15853,15373,0.9697218192140289
R2,SKU_A,34230,33369,0.9748466257668712
R2,SKU_B,19561,19561,1.0
R2,SKU_C,18587,12819,0.6896755797062463
R2,SKU_D,16542,16140,0.9756982227058397
R2,SKU_E,16529,15840,0.9583156875794059
R3,SKU_A,66596,62428,0.9374136584779866
R3,SKU_B,21533,21533,1.0
R3,SKU_C,41348,41348,1.0
R3,SKU_D,33476,33476,1.0
R3,SKU_E,28210,28210,1.0
