time,node_id,on_hand,backlog_external,backlog_children,pipeline_in,placed_orders
20,R1,40.0,0.0,0.0,259.0,289.0
20,R2,0.0,91.0,0.0,307.0,265.0
20,R3,277.0,0.0,0.0,832.0,248.0
21,Supplier,0.0,0.0,0.0,0.0,0.0
21,W1,248.0,0.0,0.0,1247.0,241.0
21,W2,338.0,0.0,248.0,1511.0,248.0
21,R1,95.0,0.0,0.0,289.0,204.0
21,R2,116.0,0.0,0.0,265.0,100.0
21,R3,0.0,27.0,0.0,832.0,552.0
22,Supplier,0.0,0.0,489.0,0.0,0.0
22,W1,629.0,0.0,304.0,866.0,545.0
22,W2,133.0,0.0,0.0,1164.0,552.0
22,R1,0.0,89.0,0.0,289.0,388.0
22,R2,8.0,0.0,0.0,265.0,208.0
22,R3,164.0,0.0,0.0,921.0,272.0
23,Supplier,0.0,0.0,0.0,0.0,0.0
23,W1,241.0,0.0,208.0,1411.0,292.0
23,W2,193.0,0.0,0.0,1384.0,272.0
23,R1,83.0,0.0,0.0,388.0,117.0
23,R2,0.0,81.0,0.0,265.0,297.0
23,R3,0.0,8.0,0.0,1193.0,172.0
24,Supplier,0.0,0.0,0.0,0.0,0.0
24,W1,395.0,0.0,117.0,1252.0,206.0
24,W2,193.0,0.0,172.0,1656.0,172.0
24,R1,0.0,56.0,0.0,388.0,256.0
24,R2,101.0,0.0,0.0,297.0,83.0
24,R3,149.0,0.0,0.0,824.0,384.0
25,Supplier,0.0,0.0,378.0,0.0,0.0
25,W1,139.0,0.0,83.0,1252.0,428.0
25,W2,272.0,0.0,0.0,1193.0,384.0
25,R1,206.0,0.0,0.0,256.0,126.0
25,R2,35.0,0.0,0.0,297.0,149.0
25,R3,0.0,56.0,0.0,1208.0,205.0
26,Supplier,0.0,0.0,0.0,0.0,0.0
26,W1,554.0,0.0,275.0,1265.0,192.0
26,W2,272.0,0.0,205.0,1577.0,205.0
26,R1,86.0,0.0,0.0,256.0,246.0
26,R2,0.0,36.0,0.0,297.0,220.0
26,R3,306.0,0.0,0.0,656.0,395.0
27,Supplier,0.0,0.0,397.0,0.0,0.0
27,W1,554.0,0.0,466.0,1265.0,383.0
27,W2,246.0,0.0,0.0,1208.0,395.0
27,R1,186.0,0.0,0.0,0.0,402.0
27,R2,162.0,0.0,0.0,0.0,319.0
27,R3,345.0,0.0,0.0,779.0,233.0
28,Supplier,0.0,0.0,0.0,0.0,0.0
28,W1,378.0,0.0,0.0,1103.0,255.0
28,W2,246.0,0.0,233.0,1603.0,233.0
28,R1,21.0,0.0,0.0,402.0,165.0
28,R2,64.0,0.0,0.0,319.0,98.0
28,R3,40.0,0.0,0.0,779.0,538.0
29,Supplier,0.0,0.0,233.0,0.0,0.0
29,W1,670.0,0.0,263.0,1066.0,263.0
29,W2,260.0,0.0,0.0,1051.0,538.0
29,R1,0.0,173.0,0.0,402.0,359.0
29,R2,0.0,13.0,0.0,319.0,175.0
29,R3,127.0,0.0,0.0,933.0,297.0
30,Supplier,0.0,0.0,0.0,0.0,0.0
30,W1,311.0,0.0,175.0,1329.0,271.0
30,W2,235.0,0.0,0.0,1317.0,297.0
30,R1,110.0,0.0,0.0,359.0,119.0
30,R2,0.0,83.0,0.0,319.0,245.0
30,R3,0.0,41.0,0.0,1230.0,168.0
31,Supplier,0.0,0.0,0.0,0.0,0.0
31,W1,739.0,0.0,364.0,1172.0,189.0
31,W2,235.0,0.0,168.0,1614.0,168.0
31,R1,0.0,13.0,0.0,359.0,242.0
31,R2,153.0,0.0,0.0,0.0,328.0
31,R3,112.0,0.0,0.0,835.0,410.0
32,Supplier,0.0,0.0,357.0,0.0,0.0
32,W1,411.0,0.0,242.0,1172.0,395.0
32,W2,209.0,0.0,0.0,1230.0,410.0
32,R1,219.0,0.0,0.0,0.0,369.0
32,R2,72.0,0.0,0.0,328.0,81.0
32,R3,0.0,96.0,0.0,1245.0,208.0
33,Supplier,0.0,0.0,0.0,0.0,0.0
33,W1,425.0,0.0,81.0,1184.0,208.0
33,W2,209.0,0.0,208.0,1640.0,208.0
33,R1,70.0,0.0,0.0,369.0,149.0
33,R2,0.0,30.0,0.0,328.0,183.0
33,R3,239.0,0.0,0.0,707.0,411.0
34,Supplier,0.0,0.0,416.0,0.0,0.0
34,W1,680.0,0.0,332.0,929.0,459.0
34,W2,193.0,0.0,0.0,1245.0,411.0
34,R1,0.0,96.0,0.0,369.0,315.0
34,R2,0.0,122.0,0.0,328.0,275.0
34,R3,286.0,0.0,0.0,821.0,250.0
35,Supplier,0.0,0.0,0.0,0.0,0.0
35,W1,353.0,0.0,0.0,1125.0,258.0
35,W2,193.0,0.0,250.0,1656.0,250.0
35,R1,93.0,0.0,0.0,315.0,180.0
35,R2,68.0,0.0,0.0,275.0,138.0
35,R3,0.0,14.0,0.0,821.0,550.0
36,Supplier,0.0,0.0,0.0,0.0,0.0
36,W1,624.0,0.0,318.0,1112.0,318.0
36,W2,181.0,0.0,0.0,1368.0,300.0
36,R1,0.0,86.0,0.0,315.0,359.0
36,R2,0.0,57.0,0.0,275.0,263.0
36,R3,83.0,0.0,0.0,961.0,313.0
37,Supplier,0.0,0.0,0.0,0.0,0.0
37,W1,2.0,0.0,0.0,1430.0,304.0
37,W2,165.0,0.0,0.0,1371.0,313.0
37,R1,129.0,0.0,0.0,359.0,100.0
37,R2,0.0,142.0,0.0,538.0,85.0
37,R3,0.0,142.0,0.0,1274.0,225.0
38,Supplier,0.0,0.0,0.0,0.0,0.0
38,W1,397.0,0.0,185.0,1339.0,185.0
38,W2,165.0,0.0,225.0,1684.0,225.0
38,R1,12.0,0.0,0.0,359.0,217.0
38,R2,25.0,0.0,0.0,263.0,193.0
38,R3,63.0,0.0,0.0,863.0,431.0
39,Supplier,0.0,0.0,410.0,0.0,0.0
39,W1,397.0,0.0,410.0,1339.0,410.0
39,W2,144.0,0.0,0.0,1274.0,431.0
39,R1,235.0,0.0,0.0,0.0,353.0
39,R2,0.0,59.0,0.0,263.0,277.0
