t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase
35,Warehouse,65,0,0,114,81,61,EOD
35,R1,39,0,0,46,35,29,EOD
35,R2,28,0,0,56,26,33,EOD
36,Supplier,0,0,0,0,0,0,EOD
36,Warehouse,68,0,0,131,61,64,EOD
36,R1,62,0,0,35,23,46,EOD
36,R2,26,0,0,61,23,21,EOD
37,Supplier,0,0,0,0,0,0,EOD
37,Warehouse,72,0,0,142,46,50,EOD
37,R1,69,0,0,23,28,35,EOD
37,R2,60,0,0,49,1,35,EOD
38,Supplier,0,0,0,0,0,0,EOD
38,Warehouse,124,0,0,107,29,81,EOD
38,R1,49,0,0,28,43,23,EOD
38,R2,73,0,0,24,13,26,EOD
39,Supplier,0,0,0,0,0,0,EOD
39,Warehouse,129,0,0,75,56,61,EOD
39,R1,38,0,0,43,39,28,EOD
39,R2,56,0,0,14,40,23,EOD
40,Supplier,0,0,0,0,0,0,EOD
40,Warehouse,96,0,0,85,79,46,EOD
40,R1,57,0,0,39,24,43,EOD
40,R2,43,0,0,53,14,1,EOD
41,Supplier,0,0,0,0,0,0,EOD
41,Warehouse,87,0,0,135,38,29,EOD
41,R1,65,0,0,24,31,39,EOD
41,R2,31,0,0,54,25,13,EOD
42,Supplier,0,0,0,0,0,0,EOD
42,Warehouse,87,0,0,117,56,56,EOD
42,R1,45,0,0,31,44,24,EOD
42,R2,31,0,0,39,40,40,EOD
43,Supplier,0,0,0,0,0,0,EOD
43,Warehouse,82,0,0,94,84,79,EOD
43,R1,0,0,0,75,45,0,EOD
43,R2,27,0,0,65,18,14,EOD
44,Supplier,0,0,0,0,0,0,EOD
44,Warehouse,57,0,0,140,63,38,EOD
44,R1,0,26,0,120,26,0,EOD
44,R2,29,0,0,58,23,25,EOD
45,Supplier,0,0,0,0,0,0,EOD
45,Warehouse,64,0,0,147,49,56,EOD
45,R1,7,0,0,70,43,76,EOD
45,R2,47,0,0,41,22,40,EOD
46,Supplier,0,0,0,0,0,0,EOD
46,Warehouse,83,0,0,112,65,84,EOD
46,R1,37,0,0,43,40,70,EOD
46,R2,8,0,0,45,57,18,EOD
47,Supplier,0,0,0,0,0,0,EOD
47,Warehouse,49,0,0,114,97,63,EOD
47,R1,0,8,0,83,45,0,EOD
47,R2,5,0,0,79,26,23,EOD
48,Supplier,0,0,0,0,0,0,EOD
48,Warehouse,27,0,0,162,71,49,EOD
48,R1,0,3,0,88,35,40,EOD
48,R2,0,7,0,83,34,22,EOD
49,Supplier,0,0,0,0,0,0,EOD
49,Warehouse,23,0,0,168,69,65,EOD
49,R1,32,0,0,35,53,88,EOD
49,R2,23,0,0,60,27,57,EOD
50,Supplier,0,0,0,0,0,0,EOD
50,Warehouse,40,0,0,140,80,97,EOD
50,R1,31,0,0,53,36,35,EOD
50,R2,34,0,0,61,15,26,EOD
51,Supplier,0,0,0,0,0,0,EOD
51,Warehouse,60,0,0,149,51,71,EOD
51,R1,45,0,0,36,39,53,EOD
51,R2,49,0,0,42,19,34,EOD
52,Supplier,0,0,0,0,0,0,EOD
52,Warehouse,71,0,0,131,58,69,EOD
52,R1,13,0,0,75,32,0,EOD
52,R2,52,0,0,34,24,27,EOD
53,Supplier,0,0,0,0,0,0,EOD
53,Warehouse,95,0,0,109,56,80,EOD
53,R1,28,0,0,68,24,39,EOD
53,R2,46,0,0,43,21,15,EOD
54,Supplier,0,0,0,0,0,0,EOD
54,Warehouse,101,0,0,114,45,51,EOD
54,R1,23,0,0,56,41,36,EOD
54,R2,35,0,0,45,30,19,EOD
55,Supplier,0,0,0,0,0,0,EOD
55,Warehouse,88,0,0,101,71,58,EOD
