t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received
14,R1,21,0,0,0,0,7
14,R2,23,0,0,0,0,6
14,R3,25,0,0,0,0,5
14,WHA,81,0,0,26,13,0
14,WHB,90,0,0,15,5,0
14,R1,21,0,0,7,7,0
14,R2,23,0,0,6,6,0
14,R3,25,0,0,5,5,0
15,Supplier,0,0,0,0,0,0
15,WHA,94,0,0,13,0,13
15,WHB,95,0,0,10,0,5
15,R1,21,0,0,0,0,7
15,R2,23,0,0,0,0,6
15,R3,25,0,0,0,0,5
15,WHA,81,0,0,26,13,0
15,WHB,90,0,0,15,5,0
15,R1,21,0,0,7,7,0
15,R2,23,0,0,6,6,0
15,R3,25,0,0,5,5,0
16,Supplier,0,0,0,0,0,0
16,WHA,94,0,0,13,0,13
16,WHB,95,0,0,10,0,5
16,R1,21,0,0,0,0,7
16,R2,23,0,0,0,0,6
16,R3,25,0,0,0,0,5
16,WHA,81,0,0,26,13,0
16,WHB,90,0,0,15,5,0
16,R1,21,0,0,7,7,0
16,R2,23,0,0,6,6,0
16,R3,25,0,0,5,5,0
17,Supplier,0,0,0,0,0,0
17,WHA,94,0,0,13,0,13
17,WHB,95,0,0,10,0,5
17,R1,21,0,0,0,0,7
17,R2,23,0,0,0,0,6
17,R3,25,0,0,0,0,5
17,WHA,81,0,0,26,13,0
17,WHB,90,0,0,15,5,0
17,R1,21,0,0,7,7,0
17,R2,23,0,0,6,6,0
17,R3,25,0,0,5,5,0
18,Supplier,0,0,0,0,0,0
18,WHA,94,0,0,13,0,13
18,WHB,95,0,0,10,0,5
18,R1,21,0,0,0,0,7
18,R2,23,0,0,0,0,6
18,R3,25,0,0,0,0,5
18,WHA,81,0,0,26,13,0
18,WHB,90,0,0,15,5,0
18,R1,21,0,0,7,7,0
18,R2,23,0,0,6,6,0
18,R3,25,0,0,5,5,0
19,Supplier,0,0,0,0,0,0
19,WHA,94,0,0,13,0,13
19,WHB,95,0,0,10,0,5
