time,node_id,on_hand,backlog_external,backlog_children,pipeline_in
21,W1,665.0,0.0,417.0,1232.0
21,W2,338.0,0.0,248.0,1511.0
21,R1,0.0,164.0,0.0,548.0
21,R2,0.0,36.0,0.0,0.0
21,R3,190.0,0.0,0.0,615.0
22,Supplier,0.0,0.0,48.0,0.0
22,W1,529.0,0.0,204.0,1107.0
22,W2,133.0,0.0,0.0,1364.0
22,R1,0.0,348.0,0.0,548.0
22,R2,0.0,144.0,0.0,517.0
22,R3,0.0,82.0,0.0,1167.0
23,Supplier,0.0,0.0,0.0,0.0
23,W1,729.0,0.0,496.0,1211.0
23,W2,465.0,0.0,272.0,1384.0
23,R1,83.0,0.0,0.0,0.0
23,R2,0.0,233.0,0.0,517.0
23,R3,0.0,254.0,0.0,1167.0
24,Supplier,0.0,0.0,0.0,0.0
24,W1,475.0,0.0,197.0,1252.0
24,W2,665.0,0.0,444.0,1456.0
24,R1,0.0,56.0,0.0,505.0
24,R2,0.0,316.0,0.0,517.0
24,R3,149.0,0.0,0.0,552.0
25,Supplier,0.0,0.0,6.0,0.0
25,W1,675.0,0.0,419.0,1252.0
25,W2,272.0,0.0,0.0,1365.0
25,R1,0.0,182.0,0.0,505.0
25,R2,135.0,0.0,0.0,0.0
25,R3,0.0,56.0,0.0,1208.0
26,Supplier,0.0,0.0,40.0,0.0
26,W1,875.0,0.0,611.0,1252.0
26,W2,454.0,0.0,205.0,1383.0
26,R1,203.0,0.0,0.0,0.0
26,R2,64.0,0.0,0.0,0.0
26,R3,306.0,0.0,0.0,656.0
27,Supplier,0.0,0.0,37.0,0.0
27,W1,1131.0,0.0,802.0,1196.0
27,W2,641.0,0.0,395.0,1396.0
27,R1,47.0,0.0,0.0,0.0
27,R2,0.0,35.0,0.0,0.0
27,R3,73.0,0.0,0.0,656.0
28,Supplier,0.0,0.0,18.0,0.0
28,W1,378.0,0.0,0.0,1092.0
28,W2,213.0,0.0,0.0,1396.0
28,R1,0.0,118.0,0.0,541.0
28,R2,0.0,133.0,0.0,516.0
28,R3,0.0,232.0,0.0,1284.0
29,Supplier,0.0,0.0,40.0,0.0
29,W1,670.0,0.0,263.0,1066.0
29,W2,565.0,0.0,305.0,1244.0
29,R1,0.0,312.0,0.0,541.0
29,R2,0.0,210.0,0.0,516.0
29,R3,127.0,0.0,0.0,628.0
30,Supplier,0.0,0.0,0.0,0.0
30,W1,870.0,0.0,534.0,1129.0
30,W2,235.0,0.0,0.0,1317.0
30,R1,110.0,0.0,0.0,0.0
30,R2,0.0,280.0,0.0,516.0
30,R3,0.0,41.0,0.0,1230.0
31,Supplier,0.0,0.0,0.0,0.0
31,W1,1070.0,0.0,723.0,1200.0
31,W2,407.0,0.0,168.0,1442.0
31,R1,0.0,13.0,0.0,0.0
31,R2,153.0,0.0,0.0,0.0
31,R3,0.0,283.0,0.0,1230.0
32,Supplier,0.0,0.0,0.0,0.0
32,W1,669.0,0.0,328.0,1189.0
32,W2,607.0,0.0,410.0,1410.0
32,R1,0.0,140.0,0.0,601.0
32,R2,72.0,0.0,0.0,0.0
32,R3,137.0,0.0,0.0,602.0
33,Supplier,0.0,0.0,48.0,0.0
33,W1,869.0,0.0,536.0,1189.0
33,W2,189.0,0.0,0.0,1410.0
33,R1,0.0,289.0,0.0,601.0
33,R2,0.0,30.0,0.0,0.0
33,R3,0.0,66.0,0.0,1220.0
34,Supplier,0.0,0.0,14.0,0.0
34,W1,624.0,0.0,276.0,1123.0
34,W2,389.0,0.0,203.0,1460.0
34,R1,146.0,0.0,0.0,0.0
34,R2,0.0,122.0,0.0,511.0
34,R3,286.0,0.0,0.0,618.0
35,Supplier,0.0,0.0,3.0,0.0
35,W1,887.0,0.0,534.0,1125.0
35,W2,589.0,0.0,453.0,1460.0
35,R1,0.0,34.0,0.0,0.0
35,R2,0.0,260.0,0.0,511.0
35,R3,0.0,14.0,0.0,618.0
36,Supplier,0.0,0.0,0.0,0.0
36,W1,536.0,0.0,230.0,1112.0
36,W2,181.0,0.0,0.0,1368.0
36,R1,0.0,213.0,0.0,622.0
36,R2,0.0,385.0,0.0,511.0
36,R3,0.0,327.0,0.0,1371.0
37,Supplier,0.0,0.0,0.0,0.0
37,W1,725.0,0.0,534.0,1241.0
37,W2,478.0,0.0,313.0,1371.0
37,R1,0.0,313.0,0.0,622.0
37,R2,41.0,0.0,0.0,0.0
37,R3,66.0,0.0,0.0,753.0
38,Supplier,0.0,0.0,0.0,0.0
38,W1,925.0,0.0,719.0,1345.0
38,W2,108.0,0.0,0.0,1516.0
38,R1,192.0,0.0,0.0,0.0
38,R2,0.0,67.0,0.0,0.0
38,R3,0.0,140.0,0.0,1291.0
39,Supplier,0.0,0.0,25.0,0.0
39,W1,577.0,0.0,396.0,1330.0
39,W2,308.0,0.0,206.0,1516.0
39,R1,56.0,0.0,0.0,0.0
39,R2,0.0,151.0,0.0,548.0
39,R3,0.0,336.0,0.0,1291.0
40,Supplier,0.0,0.0,56.0,0.0
40,W1,310.0,0.0,84.0,1265.0
40,W2,558.0,0.0,402.0,1466.0
40,R1,0.0,67.0,0.0,532.0
40,R2,0.0,242.0,0.0,548.0
40,R3,191.0,0.0,0.0,538.0
41,Supplier,0.0,0.0,72.0,0.0
41,W1,568.0,0.0,298.0,1207.0
41,W2,130.0,0.0,0.0,1466.0
41,R1,0.0,218.0,0.0,532.0
41,R2,0.0,324.0,0.0,548.0
41,R3,0.0,43.0,0.0,1166.0
42,Supplier,0.0,0.0,0.0,0.0
42,W1,886.0,0.0,531.0,1148.0
42,W2,383.0,0.0,234.0,1466.0
42,R1,134.0,0.0,0.0,0.0
42,R2,124.0,0.0,0.0,0.0
42,R3,150.0,0.0,0.0,628.0
43,Supplier,0.0,0.0,67.0,0.0
43,W1,1190.0,0.0,811.0,1044.0
43,W2,104.0,0.0,0.0,1366.0
43,R1,0.0,42.0,0.0,0.0
43,R2,40.0,0.0,0.0,0.0
43,R3,0.0,146.0,0.0,1207.0
44,Supplier,0.0,0.0,0.0,0.0
44,W1,745.0,0.0,441.0,1172.0
44,W2,417.0,0.0,296.0,1432.0
44,R1,0.0,161.0,0.0,630.0
44,R2,0.0,54.0,0.0,0.0
44,R3,0.0,346.0,0.0,1207.0
45,Supplier,0.0,0.0,0.0,0.0
45,W1,410.0,0.0,119.0,1232.0
45,W2,617.0,0.0,496.0,1528.0
45,R1,0.0,277.0,0.0,630.0
45,R2,0.0,131.0,0.0,535.0
45,R3,25.0,0.0,0.0,579.0
46,Supplier,0.0,0.0,13.0,0.0
46,W1,610.0,0.0,312.0,1232.0
46,W2,64.0,0.0,0.0,1528.0
46,R1,234.0,0.0,0.0,0.0
46,R2,0.0,198.0,0.0,535.0
46,R3,0.0,184.0,0.0,1332.0
47,Supplier,0.0,0.0,6.0,0.0
47,W1,869.0,0.0,498.0,1173.0
47,W2,264.0,0.0,209.0,1585.0
47,R1,100.0,0.0,0.0,0.0
47,R2,0.0,295.0,0.0,535.0
47,R3,166.0,0.0,0.0,753.0
48,Supplier,0.0,0.0,9.0,0.0
48,W1,1069.0,0.0,729.0,1165.0
48,W2,517.0,0.0,438.0,1532.0
48,R1,0.0,21.0,0.0,0.0
48,R2,156.0,0.0,0.0,0.0
48,R3,0.0,62.0,0.0,753.0
49,Supplier,0.0,0.0,69.0,0.0
49,W1,773.0,0.0,325.0,1052.0
49,W2,51.0,0.0,0.0,1532.0
49,R1,0.0,187.0,0.0,609.0
49,R2,75.0,0.0,0.0,0.0
49,R3,0.0,355.0,0.0,1419.0
50,Supplier,0.0,0.0,36.0,0.0
50,W1,1033.0,0.0,572.0,992.0
50,W2,430.0,0.0,293.0,1419.0
50,R1,0.0,385.0,0.0,609.0
50,R2,0.0,23.0,0.0,0.0
50,R3,54.0,0.0,0.0,666.0
51,Supplier,0.0,0.0,0.0,0.0
