node_id,sku,demand_sum,fulfilled_sum,fill_rate
R1,SKU_A,51394,44071,0.8575125501031249
R1,SKU_B,23800,23800,1.0
R1,SKU_C,37760,25021,0.6626324152542373
R1,SKU_D,22301,22301,1.0
R1,SKU_E,15853,11402,0.719232952753422
R2,SKU_A,34230,34230,1.0
R2,SKU_B,19561,16972,0.8676448034354072
R2,SKU_C,18587,18587,1.0
R2,SKU_D,16542,16182,0.9782372143634385
R2,SKU_E,16529,16529,1.0
R3,SKU_A,66596,66596,1.0
R3,SKU_B,21533,13697,0.636093437978916
R3,SKU_C,41348,40952,0.9904227532166006
R3,SKU_D,33476,33476,1.0
R3,SKU_E,28210,28210,1.0
