node_id,sku,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
R1,SKU_A,1869.3500000000001,4009.5,103.042,0.0,5981.892
R1,SKU_B,5038.889999999999,0.0,47.672000000000004,0.0,5086.562
R1,SKU_C,508.14,6918.3,75.27,0.0,7501.71
R1,SKU_D,3943.8,0.0,44.648,0.0,3988.4480000000003
R1,SKU_E,144.01399999999998,1951.2,31.706,0.0,2126.92
R2,SKU_A,5569.25,0.0,69.768,0.0,5639.018
R2,SKU_B,1127.73,1814.3999999999999,39.002,0.0,2981.132
R2,SKU_C,4197.339,0.0,37.016,0.0,4234.355
R2,SKU_D,1181.32,243.10000000000002,32.934,0.0,1457.354
R2,SKU_E,2714.3219999999997,0.0,33.464,0.0,2747.786
R3,SKU_A,11470.650000000001,0.0,132.558,0.0,11603.208
R3,SKU_B,405.53999999999996,6350.4,43.224000000000004,0.0,6799.164
R3,SKU_C,6034.905,240.3,81.19200000000001,0.0,6356.397
R3,SKU_D,13779.584,0.0,66.65,0.0,13846.234
R3,SKU_E,4083.43,0.0,56.942,0.0,4140.371999999999
Supplier,SKU_A,0.0,0.0,0.0,21779.10303528989,21779.10303528989
Supplier,SKU_B,0.0,0.0,0.0,22936.33760234708,22936.33760234708
Supplier,SKU_C,0.0,0.0,0.0,28380.470419692556,28380.470419692556
Supplier,SKU_D,0.0,0.0,0.0,33251.192516715106,33251.192516715106
Supplier,SKU_E,0.0,0.0,0.0,15417.896425955369,15417.896425955369
W1,SKU_A,5516.79,0.0,1968.496,8955.494786584137,16440.780786584135
W1,SKU_B,4980.581999999999,0.0,608.936,16825.731798248667,22415.249798248664
W1,SKU_C,11153.696,0.0,2056.276,12533.222416565934,25743.194416565933
W1,SKU_D,833.918,0.0,1711.537,15719.64320911372,18265.09820911372
W1,SKU_E,5602.4800000000005,0.0,493.044,13897.907789487546,19993.431789487546
W2,SKU_A,5594.355,0.0,807.768,4169.588403572903,10571.711403572903
W2,SKU_B,4159.799999999999,0.0,298.802,9559.35886316399,14017.96086316399
W2,SKU_C,8064.368,0.0,512.005,3911.411418520657,12487.784418520658
W2,SKU_D,8146.196000000001,0.0,442.82,4554.468893344583,13143.484893344585
W2,SKU_E,2543.904,0.0,389.226,6989.172421397866,9922.302421397866
