node_id,demand_sum,fulfilled_sum,fill_rate
R1,13236,13152.0,0.9936536718041704
R2,8217,7725.0,0.9401241328952172
R3,21393,21097.0,0.9861636984060207
Supplier,0,0.0,
W1,0,0.0,
W2,0,0.0,
_OVERALL_,42846,41974.0,0.9796480418242076
