sku,demand_sum,fulfilled_sum,fill_rate
SKU_A,152220,152079,0.9990737091052424
SKU_B,64894,53037,0.8172866520787746
SKU_C,97695,96834,0.9911868570551206
SKU_D,72319,67983,0.9400434187419627
SKU_E,60592,53699,0.8862391074729338
