trial,cost,fill_rate,best_cost
0,23910105.300068,0.68820808722932,23910105.300068
1,16928359.13433829,0.7588111781166171,16928359.13433829
2,21106276.002876848,0.7156077821912316,16928359.13433829
3,24835813.566174578,0.6782736828182543,16928359.13433829
4,14905610.000414241,0.7786283205958576,14905610.000414241
5,12873660.395463586,0.7979783993353642,12873660.395463586
6,13678014.800864633,0.7922806350413537,12873660.395463586
7,5510951.923225189,0.8706812103977482,5510951.923225189
8,10597016.179351285,0.8202383265064872,5510951.923225189
9,30920825.166571304,0.618446124404287,5510951.923225189
10,41365681.40544566,0.5137246473255435,5510951.923225189
11,5883793.251827564,0.8675853631317244,5510951.923225189
12,13373676.78060984,0.7935557603839016,5510951.923225189
13,531148.669,0.9591009229675495,531148.669
14,469803.749,0.9953148960266516,469803.749
15,4958434.833104664,0.8760214435989534,469803.749
16,9275429.519212823,0.8324088502378718,469803.749
17,2927398.8814233034,0.896059718025767,469803.749
18,894060.7073999523,0.9173958509860005,469803.749
19,461770.136,0.9562737406845584,461770.136
20,13660910.023105787,0.7885916581589422,461770.136
21,533905.379,0.9281217837701551,461770.136
22,499373.493,0.9905181927526587,461770.136
23,478443.622,0.9879472755304066,461770.136
24,2994670.024159611,0.8948486589484039,461770.136
25,9544149.905454302,0.830900193025457,461770.136
26,482346.935,0.9472031975266288,461770.136
27,445200.303,0.9638108267854855,445200.303
28,496266.6039642848,0.9196898366103572,445200.303
29,4653105.613691742,0.8784042953330826,445200.303
30,15989284.086700492,0.7659452667429951,445200.303
31,521986.79600000003,0.9498650475123689,445200.303
32,4817867.991822389,0.8772800357117762,445200.303
33,528320.358,0.9556661444921611,445200.303
34,541988.9618362889,0.9194625047016372,445200.303
35,11323321.652655333,0.8125276414934467,445200.303
36,5989295.171991306,0.865954773350087,445200.303
37,2625203.71691373,0.8986099687108627,445200.303
38,8739874.583110329,0.8379102824288968,445200.303
39,490385.493,0.9210806945609807,445200.303
40,6196140.35626677,0.8634892554673324,445200.303
41,480688.94,0.9603243819672064,445200.303
42,496248.12,0.9769630110317975,445200.303
43,3139523.9660011576,0.8937760656699885,445200.303
44,2340888.5361257317,0.9027970091387427,445200.303
45,3540852.9861654434,0.8895146257083456,445200.303
46,499956.179,0.9345656100555103,445200.303
47,485346.081,0.9488585871528539,445200.303
48,516853.284,0.9324142235375324,445200.303
49,17121537.559872385,0.7554487325212762,445200.303
50,4234266.776280042,0.8825169362271996,445200.303
51,533856.375,0.9832683715182051,445200.303
52,4025811.084692723,0.8849452543430728,445200.303
53,473590.736,0.9575075329527934,445200.303
54,1195220.6441007527,0.9132315437489925,445200.303
55,462787.874,0.9752497551015347,445200.303
56,459445.551,0.9649412863679387,445200.303
57,3247901.664572522,0.8924658072142748,445200.303
58,462892.26,0.9770766769861575,445200.303
59,469826.211,0.9572967342737986,445200.303
60,468665.683,0.945353542451134,445200.303
61,477521.721,0.9269231246150857,445200.303
62,10103199.45490735,0.8244067670509265,445200.303
63,8337032.613674973,0.8423845877232503,445200.303
64,2121039.7227846286,0.9036443371621538,445200.303
65,4452330.599405063,0.8819155399959494,445200.303
66,458690.096,0.967863534721849,445200.303
67,570724.483887416,0.9191173735311259,445200.303
68,8246093.329770759,0.8426677192822924,445200.303
69,1406389.1566322064,0.911220689683678,445200.303
70,10052525.401190838,0.8248779640980917,445200.303
71,485873.42,0.9523987649677396,445200.303
72,4366381.271506453,0.8816758081649355,445200.303
73,1112923.5053064935,0.9135808082269351,445200.303
74,483865.989,0.9483088572644944,445200.303
75,1175815.0598799447,0.9135498084212006,445200.303
76,562989.066,0.9282974493359841,445200.303
77,3515835.631150387,0.8901821548584962,445200.303
78,6904488.718543337,0.8557620372245667,445200.303
79,9527555.301844778,0.8306087948515523,445200.303
80,463909.848,0.9658030809673592,445200.303
81,471069.731,0.9513964379156558,445200.303
82,483932.544,0.9480587921649024,445200.303
83,483932.627,0.9217234238665438,445200.303
84,471888.592,0.9526901631416443,445200.303
85,2344258.106559647,0.9014040845344036,445200.303
86,13592237.059878487,0.7898833167312151,445200.303
87,582082.391,0.9964701554536924,445200.303
88,500933.26,0.9339559472093975,445200.303
89,529372.072,0.9441238834903302,445200.303
90,455501.08,0.988156007555686,445200.303
91,466583.76900000003,0.9720133753828476,445200.303
92,469859.866,0.9665718761495762,445200.303
93,467072.45,0.9490094528740953,445200.303
94,476094.291,0.9363656654418299,445200.303
95,2466124.281116831,0.9003108247188317,445200.303
96,492659.604,0.9449939447046132,445200.303
97,505330.831,0.940478306335947,445200.303
98,1091135.988250629,0.9139982722774938,445200.303
99,468548.551,0.9443698152824909,445200.303
