node_id,demand_sum,fulfilled_sum,fill_rate
R1,13236,13152.0,0.9936536718041704
R2,8217,8159.0,0.992941462820981
R3,21393,21250.0,0.9933155705137194
Supplier,0,0.0,
W1,0,0.0,
W2,0,0.0,
_OVERALL_,42846,42561.0,0.9933482705503431
