sku,demand_sum,fulfilled_sum,fill_rate
SKU_A,152220,121174,0.796045197740113
SKU_B,64894,49134,0.7571424168644251
SKU_C,97695,76762,0.7857311018987666
SKU_D,72319,59547,0.8233935756855045
SKU_E,60592,47528,0.7843939794032215
