sku,demand_sum,fulfilled_sum,fill_rate
SKU_A,152220,152086,0.9991196951780318
SKU_B,64894,62283,0.9597651554843283
SKU_C,97695,89612,0.9172629100772813
SKU_D,72319,66857,0.9244735131846403
SKU_E,60592,60582,0.999834961711117
