Exp,Description,Total Cost,vs E0,Holding %,Transport %,Ordering %,Shortage %,Fill Rate %
E0,E0 — Analytical Baseline,"416,952",+0.0%,5.0,79.5,9.3,6.1,91.59
E1a,E1a — Financial Dispatch (25%),"282,935",+32.1%,4.8,55.4,13.7,26.1,75.09
E1b,E1b — Transport-Only Optimization,"371,847",+10.8%,5.2,75.4,10.4,9.0,88.68
E2,E2 — Inventory-Only Opt (≥92%),"458,890",-10.1%,18.8,72.3,8.5,0.5,99.23
E3,E3 — Joint Opt (≥92%),"261,088",+37.4%,31.1,52.7,14.9,1.3,98.72
E3_per_sku,E3_per_sku — Joint Opt (per-SKU ≥ 92%),"258,085",+38.1%,28.5,54.0,15.0,2.5,97.41
