node_id,demand_sum,fulfilled_sum,fill_rate
R1,13236,10074.0,0.7611060743427017
R2,8217,5629.0,0.6850432031154923
R3,21393,15276.0,0.7140653484784742
Supplier,0,0.0,
W1,0,0.0,
W2,0,0.0,
_OVERALL_,42846,30979.0,0.7230313214769173
