t,node_id,on_hand,backlog_external,backlog_children,pipeline_in,orders_to_parent,received,phase,demand,fulfilled_external,holding_cost,backlog_cost,ordering_cost,transport_cost,total_cost
7,W2,397.0,0.0,0.0,1037.0,204.0,0.0,EOD,0,0.0,7.94,0.0,17.04,350.0,374.98
7,R1,97.0,0.0,0.0,205.0,176.0,0.0,EOD,176,176.0,2.9099999999999997,0.0,0.0,0.0,2.9099999999999997
7,R2,0.0,21.0,0.0,262.0,149.0,0.0,EOD,149,128.0,0.0,10.5,0.0,0.0,10.5
7,R3,148.0,0.0,0.0,910.0,299.0,0.0,EOD,299,299.0,4.4399999999999995,0.0,0.0,0.0,4.4399999999999995
8,Supplier,0.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,1000.0,1000.0
8,W1,463.0,0.0,0.0,948.0,325.0,453.0,EOD,0,0.0,9.26,0.0,18.25,730.0,757.51
8,W2,98.0,0.0,0.0,1452.0,299.0,0.0,EOD,0,0.0,1.96,0.0,17.990000000000002,350.0,369.95
8,R1,137.0,0.0,0.0,286.0,165.0,205.0,EOD,165,165.0,4.109999999999999,0.0,0.0,0.0,4.109999999999999
8,R2,0.0,117.0,0.0,502.0,96.0,0.0,EOD,96,0.0,0.0,58.5,0.0,0.0,58.5
8,R3,213.0,0.0,0.0,868.0,276.0,341.0,EOD,276,276.0,6.39,0.0,0.0,0.0,6.39
9,Supplier,0.0,0.0,624.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,0.0,0.0
9,W1,463.0,0.0,261.0,948.0,261.0,0.0,EOD,0,0.0,9.26,0.0,17.61,0.0,26.869999999999997
9,W2,364.0,0.0,0.0,910.0,276.0,542.0,EOD,0,0.0,7.28,0.0,17.76,350.0,375.04
9,R1,42.0,0.0,0.0,286.0,95.0,0.0,EOD,95,95.0,1.26,0.0,0.0,0.0,1.26
9,R2,32.0,0.0,0.0,240.0,113.0,262.0,EOD,113,113.0,0.96,0.0,0.0,0.0,0.96
9,R3,0.0,11.0,0.0,1144.0,224.0,0.0,EOD,224,213.0,0.0,5.5,0.0,0.0,5.5
10,Supplier,0.0,0.0,0.0,0.0,0.0,0.0,EOD,0,0.0,0.0,0.0,0.0,1000.0,1000.0
10,W1,0.0,0.0,6.0,1534.0,208.0,0.0,EOD,0,0.0,0.0,0.0,17.08,730.0,747.08
