node_id,sku,demand_sum,fulfilled_sum,fill_rate
R1,SKU_A,295680,281763,0.952932224025974
R1,SKU_B,149389,139739,0.9354035437682828
R1,SKU_C,188593,174264,0.9240215702597657
R1,SKU_D,138388,129087,0.9327904153539324
R1,SKU_E,106855,101462,0.9495297365588882
R2,SKU_A,195525,165070,0.8442398670246771
R2,SKU_B,105823,80629,0.7619232114001682
R2,SKU_C,104873,79778,0.7607105737415731
R2,SKU_D,88288,73430,0.8317098586444364
R2,SKU_E,101694,80954,0.7960548311601471
R3,SKU_A,429037,109772,0.25585672098210643
R3,SKU_B,140960,44279,0.3141245743473326
R3,SKU_C,238006,69252,0.2909674546019848
R3,SKU_D,233138,69525,0.29821393337851404
R3,SKU_E,153607,38535,0.25086747348753635
