t_ship,from_node,to_node,lead_time,qty,arrival_time
34,W1,R2,3,102.0,37
34,W1,R1,2,149.0,36
34,W2,R3,4,203.0,38
35,Supplier,W2,6,203.0,41
35,Supplier,W1,5,251.0,40
35,W1,R2,3,92.0,38
35,W1,R1,2,166.0,37
35,W2,R3,4,250.0,39
36,Supplier,W2,6,250.0,42
36,Supplier,W1,5,258.0,41
36,W1,R2,3,138.0,39
36,W1,R1,2,180.0,38
36,W2,R3,4,300.0,40
37,Supplier,W2,6,300.0,43
37,Supplier,W1,5,318.0,42
37,W1,R2,3,125.0,40
37,W1,R1,2,179.0,39
37,W2,R3,4,313.0,41
38,Supplier,W2,6,313.0,44
38,Supplier,W1,5,304.0,43
38,W1,R2,3,85.0,41
38,W1,R1,2,100.0,40
38,W2,R3,4,225.0,42
39,Supplier,W2,6,225.0,45
39,Supplier,W1,5,185.0,44
39,W1,R2,3,108.0,42
39,W1,R1,2,117.0,41
39,W2,R3,4,206.0,43
40,Supplier,W2,6,206.0,46
40,Supplier,W1,5,225.0,45
40,W1,R2,3,84.0,43
40,W1,R1,2,136.0,42
40,W2,R3,4,196.0,44
41,Supplier,W2,6,196.0,47
41,Supplier,W1,5,220.0,46
41,W1,R2,3,91.0,44
41,W1,R1,2,123.0,43
41,W2,R3,4,226.0,45
42,Supplier,W2,6,226.0,48
42,Supplier,W1,5,214.0,47
42,W1,R2,3,82.0,45
42,W1,R1,2,151.0,44
42,W2,R3,4,234.0,46
43,Supplier,W2,6,234.0,49
43,Supplier,W1,5,233.0,48
43,W1,R2,3,100.0,46
43,W1,R1,2,180.0,45
43,W2,R3,4,345.0,47
44,Supplier,W2,6,345.0,50
44,Supplier,W1,5,280.0,49
44,W1,R2,3,84.0,47
44,W1,R1,2,176.0,46
44,W2,R3,4,296.0,48
45,Supplier,W2,6,296.0,51
45,Supplier,W1,5,260.0,50
45,W1,R2,3,94.0,48
45,W1,R1,2,119.0,47
45,W2,R3,4,200.0,49
46,Supplier,W2,6,200.0,52
46,Supplier,W1,5,213.0,51
46,W1,R2,3,77.0,49
46,W1,R1,2,116.0,48
46,W2,R3,4,257.0,50
47,Supplier,W2,6,257.0,53
47,Supplier,W1,5,193.0,52
47,W1,R2,3,67.0,50
47,W1,R1,2,119.0,49
47,W2,R3,4,209.0,51
48,Supplier,W2,6,209.0,54
48,Supplier,W1,5,186.0,53
48,W1,R2,3,97.0,51
48,W1,R1,2,134.0,50
48,W2,R3,4,229.0,52
49,Supplier,W2,6,229.0,55
49,Supplier,W1,5,231.0,54
49,W1,R2,3,84.0,52
49,W1,R1,2,121.0,51
49,W2,R3,4,228.0,53
50,Supplier,W2,6,228.0,56
50,Supplier,W1,5,205.0,55
50,W1,R2,3,81.0,53
50,W1,R1,2,166.0,52
50,W2,R3,4,293.0,54
51,Supplier,W2,6,293.0,57
51,Supplier,W1,5,247.0,56
51,W1,R2,3,98.0,54
51,W1,R1,2,198.0,53
51,W2,R3,4,344.0,55
52,Supplier,W2,6,344.0,58
52,Supplier,W1,5,296.0,57
52,W1,R2,3,69.0,55
52,W1,R1,2,142.0,54
52,W2,R3,4,207.0,56
53,Supplier,W2,6,207.0,59
53,Supplier,W1,5,211.0,58
53,W1,R2,3,77.0,56
53,W1,R1,2,114.0,55
53,W2,R3,4,214.0,57
54,Supplier,W2,6,214.0,60
54,Supplier,W1,5,191.0,59
54,W1,R2,3,60.0,57
54,W1,R1,2,110.0,56
54,W2,R3,4,224.0,58
55,Supplier,W2,6,224.0,61
55,Supplier,W1,5,170.0,60
55,W1,R2,3,65.0,58
55,W1,R1,2,112.0,57
55,W2,R3,4,208.0,59
56,Supplier,W2,6,208.0,62
56,Supplier,W1,5,177.0,61
56,W1,R2,3,65.0,59
56,W1,R1,2,135.0,58
56,W2,R3,4,221.0,60
57,Supplier,W2,6,221.0,63
57,Supplier,W1,5,200.0,62
57,W1,R2,3,90.0,60
57,W1,R1,2,185.0,59
57,W2,R3,4,268.0,61
58,Supplier,W2,6,268.0,64
58,Supplier,W1,5,275.0,63
58,W1,R2,3,83.0,61
58,W1,R1,2,195.0,60
58,W2,R3,4,271.0,62
59,Supplier,W2,6,271.0,65
59,Supplier,W1,5,278.0,64
59,W1,R2,3,84.0,62
59,W1,R1,2,104.0,61
59,W2,R3,4,183.0,63
60,Supplier,W2,6,183.0,66
60,Supplier,W1,5,188.0,65
60,W1,R2,3,69.0,63
60,W1,R1,2,118.0,62
60,W2,R3,4,170.0,64
61,Supplier,W2,6,170.0,67
61,Supplier,W1,5,187.0,66
61,W1,R2,3,88.0,64
61,W1,R1,2,104.0,63
61,W2,R3,4,175.0,65
62,Supplier,W2,6,175.0,68
62,Supplier,W1,5,192.0,67
62,W1,R2,3,82.0,65
62,W1,R1,2,158.0,64
62,W2,R3,4,229.0,66
63,Supplier,W2,6,229.0,69
63,Supplier,W1,5,240.0,68
63,W1,R2,3,107.0,66
63,W1,R1,2,184.0,65
63,W2,R3,4,262.0,67
64,Supplier,W2,6,262.0,70
64,Supplier,W1,5,291.0,69
64,W1,R2,3,121.0,67
64,W1,R1,2,195.0,66
64,W2,R3,4,312.0,68
65,Supplier,W2,6,312.0,71
65,Supplier,W1,5,316.0,70
65,W1,R2,3,120.0,68
65,W1,R1,2,220.0,67
65,W2,R3,4,283.0,69
66,Supplier,W2,6,283.0,72
66,Supplier,W1,5,340.0,71
66,W1,R2,3,129.0,69
66,W1,R1,2,159.0,68
66,W2,R3,4,185.0,70
67,Supplier,W2,6,185.0,73
67,Supplier,W1,5,288.0,72
67,W1,R2,3,83.0,70
67,W1,R1,2,124.0,69
67,W2,R3,4,205.0,71
68,Supplier,W2,6,205.0,74
68,Supplier,W1,5,207.0,73
68,W1,R2,3,83.0,71
68,W1,R1,2,116.0,70
68,W2,R3,4,224.0,72
69,Supplier,W2,6,224.0,75
69,Supplier,W1,5,199.0,74
69,W1,R2,3,63.0,72
69,W1,R1,2,137.0,71
69,W2,R3,4,172.0,73
70,Supplier,W2,6,172.0,76
70,Supplier,W1,5,200.0,75
70,W1,R2,3,67.0,73
70,W1,R1,2,155.0,72
70,W2,R3,4,224.0,74
71,Supplier,W2,6,224.0,77
71,Supplier,W1,5,222.0,76
71,W1,R2,3,101.0,74
71,W1,R1,2,219.0,73
71,W2,R3,4,303.0,75
72,Supplier,W2,6,303.0,78
72,Supplier,W1,5,320.0,77
72,W1,R2,3,118.0,75
72,W1,R1,2,214.0,74
72,W2,R3,4,333.0,76
73,Supplier,W2,6,333.0,79
73,Supplier,W1,5,332.0,78
73,W1,R2,3,97.0,76
73,W1,R1,2,127.0,75
73,W2,R3,4,246.0,77
74,Supplier,W2,6,246.0,80
74,Supplier,W1,5,224.0,79
74,W1,R2,3,91.0,77
74,W1,R1,2,146.0,76
74,W2,R3,4,211.0,78
75,Supplier,W2,6,211.0,81
75,Supplier,W1,5,237.0,80
75,W1,R2,3,72.0,78
75,W1,R1,2,116.0,77
75,W2,R3,4,240.0,79
76,Supplier,W2,6,240.0,82
76,Supplier,W1,5,188.0,81
76,W1,R2,3,65.0,79
76,W1,R1,2,145.0,78
76,W2,R3,4,202.0,80
77,Supplier,W2,6,202.0,83
77,Supplier,W1,5,210.0,82
77,W1,R2,3,86.0,80
77,W1,R1,2,161.0,79
77,W2,R3,4,240.0,81
78,Supplier,W2,6,240.0,84
78,Supplier,W1,5,247.0,83
78,W1,R2,3,146.0,81
78,W1,R1,2,211.0,80
78,W2,R3,4,289.0,82
