Exp,Description,Total Cost,vs E0,Holding %,Transport %,Ordering %,Shortage %,Fill Rate %
E0,E0 — Analytical Baseline,"416,952",+0.0%,5.0,79.5,9.3,6.1,91.59
E1a,E1a — Financial Dispatch (25%),"282,935",+32.1%,4.8,55.4,13.7,26.1,75.09
E1b,E1b — Transport-Only Optimization,"298,901",+28.3%,5.1,59.6,13.0,22.4,79.10
E2,E2 — Inventory-Only Opt (≥92%),"488,965",-17.3%,20.4,67.8,7.9,3.8,93.51
E3,E3 — Joint Opt (≥92%),"263,804",+36.7%,26.0,54.0,14.7,5.3,96.29
E3_per_sku,E3_per_sku — Joint Opt (per-SKU ≥ 92%),"277,693",+33.4%,34.0,50.8,14.0,1.2,98.83
